Name,Pocket_Camp_Theme
Ace,Rustic
Admiral,Historical
Agent S,Sporty
Agnes,Cool
Al,Natural
Alfonso,Natural
Alice,Modern
Alli,Elegant
Amelia,Rustic
Anabelle,Harmonious
Anchovy,Modern
Angus,Cool
Anicotti,Hip
Ankha,Historical
Annalisa,Harmonious
Annalise,Sporty
Antonio,Sporty
Apollo,Cool
Apple,Cute
Astrid,Cool
Audie,Sporty
Aurora,Civic
Ava,Rustic
Avery,Rustic
Axel,Sporty
Azalea,Natural
Baabara,Elegant
Bam,Sporty
Bangle,Rustic
Barold,Civic
Bea,Rustic
Beardo,Historical
Beau,Natural
Becky,Elegant
Bella,Cool
Benedict,Historical
Benjamin,Historical
Bertha,Harmonious
Bettina,Civic
Bianca,Sporty
Biff,Hip
Big Top,Sporty
Bill,Harmonious
Billy,Civic
Biskit,Hip
Bitty,Cute
Blaire,Civic
Blanche,Harmonious
Bluebear,Cute
Bob,Hip
Bonbon,Cute
Bones,Historical
Boomer,Historical
Boone,Rustic
Boots,Natural
Boris,Cool
Boyd,Sporty
Bree,Civic
Broccolo,Hip
Broffina,Elegant
Bruce,Cool
Bubbles,Sporty
Buck,Sporty
Bud,Sporty
Bunnie,Cute
Butch,Sporty
Buzz,Cool
Cally,Natural
Camofrog,Cool
Canberra,Sporty
Candi,Historical
Carmen,Modern
Caroline,Rustic
Carrie,Cute
Cashmere,Historical
Celia,Elegant
Cephalobot,Hip
Cesar,Modern
Chabwick,Natural
Chadder,Modern
Chai,Cute
Charlise,Sporty
Chelsea,Cute
Cheri,Sporty
Cherry,Cool
Chester,Harmonious
Chevre,Civic
Chief,Cool
Chops,Elegant
Chow,Hip
Chrissy,Cute
Claude,Modern
Claudia,Elegant
Clay,Historical
Cleo,Civic
Clyde,Hip
Coach,Sporty
Cobb,Civic
Coco,Harmonious
Cole,Modern
Colton,Elegant
Cookie,Cute
Cousteau,Harmonious
Cranston,Harmonious
Croque,Harmonious
Cube,Hip
Curlos,Cool
Curly,Natural
Curt,Harmonious
Cyd,Cool
Cyrano,Harmonious
Daisy,Natural
Deena,Civic
Deirdre,Historical
Del,Historical
Deli,Civic
Derwin,Civic
Diana,Elegant
Diva,Elegant
Dizzy,Hip
Dobie,Civic
Doc,Civic
Dom,Hip
Dora,Harmonious
Dotty,Natural
Drago,Harmonious
Drake,Rustic
Drift,Hip
Ed,Modern
Egbert,Historical
Elise,Civic
Ellie,Natural
Elmer,Natural
Eloise,Natural
Elvis,Elegant
Erik,Rustic
Étoile,Cute
Eugene,Cool
Eunice,Rustic
Faith,Rustic
Fang,Modern
Fauna,Natural
Felicity,Cute
Filbert,Natural
Flip,Sporty
Flo,Elegant
Flora,Cute
Flurry,Cute
Francine,Hip
Frank,Cool
Freckles,Harmonious
Frett,Historical
Freya,Cool
Friga,Elegant
Frita,Hip
Frobert,Sporty
Fuchsia,Cool
Gabi,Rustic
Gala,Cute
Gaston,Civic
Gayle,Cute
Genji,Harmonious
Gigi,Elegant
Gladys,Harmonious
Gloria,Elegant
Goldie,Natural
Gonzo,Civic
Goose,Rustic
Graham,Historical
Greta,Harmonious
Grizzly,Natural
Groucho,Cool
Gruff,Historical
Gwen,Elegant
Hamlet,Natural
Hamphrey,Historical
Hans,Rustic
Harry,Historical
Hazel,Rustic
Henry,Sporty
Hippeux,Elegant
Hopkins,Sporty
Hopper,Cool
Hornsby,Historical
Huck,Natural
Hugh,Hip
Iggly,Hip
Ike,Civic
Ione,Natural
Jacob,Natural
Jacques,Cool
Jambette,Modern
Jay,Sporty
Jeremiah,Hip
Jitters,Sporty
Joey,Rustic
Judy,Cute
Julia,Elegant
Julian,Elegant
June,Rustic
Kabuki,Harmonious
Katt,Cool
Keaton,Hip
Ken,Harmonious
Ketchup,Cute
Kevin,Cool
Kid Cat,Sporty
Kidd,Civic
Kiki,Harmonious
Kitt,Civic
Kitty,Civic
Klaus,Historical
Knox,Harmonious
Kody,Hip
Kyle,Cool
Leonardo,Cool
Leopold,Civic
Lily,Cute
Limberg,Historical
Lionel,Historical
Lobo,Historical
Lolly,Natural
Lopez,Modern
Louie,Sporty
Lucha,Sporty
Lucky,Historical
Lucy,Civic
Lyman,Rustic
Mac,Rustic
Maddie,Natural
Maelle,Modern
Maggie,Cute
Mallary,Rustic
Maple,Natural
Marcel,Harmonious
Marcie,Cute
Margie,Harmonious
Marina,Cute
Marlo,Elegant
Marshal,Rustic
Marty,Natural
Mathilda,Cool
Megan,Hip
Melba,Natural
Merengue,Hip
Merry,Cute
Midge,Cute
Mint,Civic
Mira,Hip
Miranda,Elegant
Mitzi,Rustic
Moe,Sporty
Molly,Civic
Monique,Elegant
Monty,Rustic
Moose,Modern
Mott,Civic
Muffy,Elegant
Murphy,Harmonious
Nan,Modern
Nana,Cute
Naomi,Modern
Nate,Rustic
Nibbles,Rustic
Norma,Cute
O'Hare,Cool
Octavian,Hip
Olaf,Civic
Olive,Cute
Olivia,Elegant
Opal,Harmonious
Ozzie,Rustic
Pancetti,Elegant
Pango,Modern
Paolo,Hip
Papi,Natural
Pashmina,Modern
Pate,Modern
Patty,Hip
Paula,Hip
Peaches,Cute
Peanut,Cute
Pecan,Rustic
Peck,Hip
Peewee,Sporty
Peggy,Cute
Pekoe,Harmonious
Penelope,Cute
Petri,Civic
Phil,Harmonious
Phoebe,Cool
Pierce,Elegant
Pietro,Hip
Pinky,Harmonious
Piper,Elegant
Pippy,Rustic
Plucky,Rustic
Pompom,Hip
Poncho,Natural
Poppy,Modern
Portia,Modern
Prince,Rustic
Puck,Sporty
Puddles,Natural
Pudge,Hip
Punchy,Natural
Purrl,Harmonious
Queenie,Elegant
Quillson,Modern
Quinn,Cool
Raddle,Cool
Rasher,Cool
Raymond,Civic
Renée,Cool
Reneigh,Rustic
Rex,Natural
Rhonda,Elegant
Ribbot,Cool
Ricky,Rustic
Rilla,Hip
Rio,Modern
Rizzo,Harmonious
Roald,Natural
Robin,Historical
Rocco,Civic
Rocket,Sporty
Rod,Historical
Rodeo,Civic
Rodney,Hip
Rolf,Sporty
Rooney,Sporty
Rory,Harmonious
Roscoe,Cool
Rosie,Cute
Roswell,Historical
Rowan,Sporty
Ruby,Cute
Rudy,Sporty
Sally,Rustic
Samson,Hip
Sandy,Cool
Sasha,Cute
Savannah,Modern
Scoot,Sporty
Shari,Cute
Sheldon,Rustic
Shep,Historical
Sherb,Natural
Shino,Harmonious
Simon,Sporty
Skye,Natural
Sly,Rustic
Snake,Harmonious
Snooty,Harmonious
Soleil,Modern
Sparro,Historical
Spike,Sporty
Spork,Rustic
Sprinkle,Cute
Sprocket,Cool
Static,Cool
Stella,Cute
Sterling,Historical
Stinky,Sporty
Stitches,Hip
Stu,Sporty
Sydney,Rustic
Sylvana,Historical
Sylvia,Modern
T-Bone,Historical
Tabby,Rustic
Tad,Sporty
Tammi,Harmonious
Tammy,Hip
Tangy,Hip
Tank,Sporty
Tasha,Civic
Teddy,Natural
Tex,Cool
Tia,Elegant
Tiansheng,Harmonious
Tiffany,Cool
Timbra,Elegant
Tipper,Hip
Toby,Harmonious
Tom,Cool
Truffles,Cute
Tucker,Historical
Tutu,Cute
Twiggy,Hip
Tybalt,Sporty
Ursala,Cute
Velma,Civic
Vesta,Rustic
Vic,Historical
Victoria,Rustic
Violet,Modern
Vivian,Modern
Vladimir,Cool
Wade,Harmonious
Walker,Hip
Walt,Harmonious
Wart Jr.,Historical
Weber,Modern
Wendy,Hip
Whitney,Elegant
Willow,Civic
Winnie,Rustic
Wolfgang,Modern
Yuka,Natural
Zell,Modern
Zoe,Cute
Zucker,Civic
